ID,Wind speed in km/h,Waterfowl population,Wave Action,Turbidity of water (NTUs)
1,5,12,Low,0.9
2,5,30,Low,0.6
3,5,20,Low,0.1
5,5,30,Low,0.2
7,10,10,Low,1.3
8,10,60,Low,1.8
9,10,50,Low,2
10,10,85,Low,1.9
14,10,30,Low,1.7
16,20,18,Moderate,4
17,17,8,Moderate,1.2
18,17,12,Low,2
24,7,6,Low,0.9
25,11,10,Low,0.9
26,26,36,Low,1
28,11,15,Low,1.5
29,11,12,Moderate,1.8
30,17,62,Moderate,0.8
31,9,42,Low,0.7
32,15,17,Moderate,0.7
33,6,25,Low,0.7
34,7,12,High,4.5
36,4,30,Moderate,3.8
37,5,3,Low,1.7
38,9,60,Moderate,0.8
39,24,12,High,6.2
40,24,8,High,1.2
41,22,24,Low,1.4
42,5,7,Low,2.2
43,9,53,Moderate,2.1
44,6,12,Low,1.3
46,15,40,Low,1.2
47,5,40,Low,1.1
48,4,10,Low,1.1
51,5,7,Low,0.4
52,5,15,Low,0.5
53,5,5,Low,0.3
54,15,10,Low,0.4
55,4,7,None,0.2
56,27,140,Moderate,0.9
57,26,50,Moderate,2.7
58,9,10,Moderate,2.5
59,10,5,Moderate,1.4
60,5,24,Low,0.1
62,9,130,Low,0.2
64,20,30,Moderate,2.1
65,5,30,Low,1.5
66,15,25,Low,0.6
67,15,5,Low,1.1
68,17,100,Moderate,1
69,11,60,Low,0.1
70,11,36,Low,1.2
71,8,25,Low,0.9
72,8,15,Moderate,1.3
73,4,50,Low,1.1
85,10,10,Low,2.5
88,17,13,Moderate,2.1
89,17,2,Low,2
91,13,10,Low,3.1
95,7,9,Low,1.7
96,11,6,Moderate,1.3
97,26,4,High,2.2
99,11,10,Low,1.4
100,11,6,Moderate,1.9
101,17,12,Low,1
102,9,15,Low,0.9
103,15,8,Moderate,1.3
104,6,15,Low,0.7
105,7,3,High,1.9
107,4,25,Moderate,4.5
108,5,75,Low,1
109,9,3,Moderate,0.9
110,15,80,Moderate,2.8
111,15,40,Low,1.5
112,15,30,High,0.9
113,15,5,High,0.5
114,15,20,High,4.5
115,15,3,High,2.7
116,19,50,Low,3.4
117,19,200,Low,1.6
118,19,65,Moderate,2.4
119,19,80,Low,1.4
120,10,120,Low,0.3
121,10,80,None,1.8
122,10,75,Low,0.2
123,10,3,Low,0.5
124,10,300,Low,0.6
125,10,6,Low,0.6
126,10,45,Low,1.4
127,10,100,Low,1.2
128,10,30,Low,1.3
129,10,70,Low,1.5
130,13,115,None,0.6
131,13,65,None,0.2
132,13,200,Low,0.3
134,13,160,Low,0.6
135,13,24,None,0.5
136,15,1,Low,0.3
137,15,50,Low,20
138,15,60,Low,0.5
139,15,55,Low,2.2
140,24,3,High,2.2
147,10,20,Low,4.8
150,17,18,Low,2
151,17,32,Low,2
153,13,60,Low,14.5
157,7,130,Low,1.6
158,11,60,Moderate,1.2
159,26,130,Low,1.1
161,11,3,Low,1.9
162,11,8,Moderate,2.1
163,17,40,Low,1.4
164,9,50,Low,1.8
165,15,12,Low,1.5
166,6,60,Low,1
167,7,82,Moderate,1.2
169,4,75,Moderate,2.1
170,5,60,Low,8.4
171,9,200,High,1.6
172,24,105,High,1.8
173,24,200,High,6.2
174,22,120,Low,4
175,5,40,Low,7.8
176,9,27,Low,3
177,6,1000,Low,2.2
179,15,110,Low,1.9
180,5,85,Low,1.7
181,4,30,None,1.5
182,7,220,None,0.8
183,5,60,Low,1.5
184,5,60,Low,1.8
185,5,40,Low,1.1
187,15,60,Low,0.8
188,4,95,None,0.4
189,27,36,Low,0.4
190,26,25,Low,3.7
191,9,40,Moderate,1.4
192,10,29,Low,0.6
193,5,9,Low,0.6
194,15,20,Low,0.6
195,9,36,Low,0.4
197,20,10,Moderate,0.8
198,5,2,Low,1.8
200,15,20,Low,2.1
203,11,1,Low,2
206,4,15,Low,0.5
207,24,10,High,3.1
208,22,6,Low,2.1
209,5,8,Low,3.2
210,9,13,Low,2.8
213,15,32,Low,1.5
214,5,15,Low,1.8
215,4,5,Low,1.2
216,7,3,None,0.5
217,5,60,Low,1.1
218,5,8,Low,0.8
219,5,10,Low,0.5
221,15,5,Low,1
222,4,12,None,0.3
224,26,20,Moderate,3.8
226,10,6,Moderate,0.6
227,5,24,Low,0.5
229,9,6,Low,0.6
231,20,4,Moderate,0.4
232,5,17,Low,0.5
233,15,20,Low,0.6
234,15,4,Low,1.3
235,17,25,Moderate,1.4
236,11,5,Low,1.2
239,8,25,Moderate,2.6
251,10,35,Low,1.8
254,17,120,Low,2.2
255,17,160,Low,2
261,7,130,Low,1.1
262,11,200,Moderate,1.1
263,26,90,High,1.1
265,11,20,Low,1.5
266,11,200,Moderate,1.7
267,17,60,Low,1.3
268,9,190,Low,1.3
269,15,22,Moderate,1
270,6,60,Low,1
271,7,50,Moderate,4.8
273,4,40,Moderate,2.1
274,5,25,Low,2.3
275,9,80,High,4.4
276,24,130,High,2
277,24,200,High,5.1
278,22,50,Low,1.9
279,5,30,Low,2.2
280,9,200,Moderate,2.9
281,6,240,Low,2.1
283,15,120,Low,1.9
284,5,120,Low,1.9
285,4,80,Low,1
286,7,60,None,0.5
287,5,16,Low,1.1
288,5,50,Low,1.1
289,5,5,Low,0.4
292,4,120,None,0.2
293,27,80,Low,2
294,26,30,Moderate,4.2
295,9,50,Moderate,1.9
296,10,50,Low,0.6
297,5,50,Low,0.5
298,15,80,Low,0.4
299,9,60,Low,0.5
301,20,15,Moderate,3.3
302,5,70,Low,0.7
303,15,15,Low,0.6
304,15,15,Low,1.2
305,17,200,Moderate,3.4
306,11,40,Low,1.2
307,11,72,Low,4
309,8,50,Moderate,2.6
327,10,30,Low,3.27
329,20,59,Low,3.1
330,17,40,None,2.7
331,17,85,None,2
333,13,15,Low,1.9
337,7,150,None,2
338,11,110,Low,1.8
339,26,73,Low,1.1
341,11,20,Low,1
342,11,73,None,1.5
343,17,90,None,2.1
344,9,160,None,1.6
346,6,30,Low,1.4
347,7,90,Low,2.8
349,4,125,Moderate,9.5
350,5,10,Low,6.2
351,9,120,Low,8.8
352,24,60,Low,4
353,24,45,Low,3
354,22,60,None,1.6
355,5,7,Low,4.4
356,9,36,None,1.2
357,6,80,None,2.1
359,15,60,Low,1.5
360,5,40,Low,1.1
361,4,130,None,1.3
362,7,100,None,0.6
363,5,70,Low,0.8
364,5,79,Low,1.1
366,5,60,Low,2.8
367,15,20,Low,1.2
368,4,180,None,1.8
369,27,60,Low,0.7
370,26,40,Low,2.2
371,9,20,Low,1.3
372,10,70,Low,1
373,5,60,Low,0.6
374,15,2,Low,0.6
375,9,95,Low,0.7
377,20,60,Low,5.8
378,5,30,Low,1.7
379,15,10,Low,0.6
380,15,10,Low,1.3
381,17,15,Low,1.4
382,11,15,Low,0.7
383,11,170,None,1.5
384,8,20,Low,0.1
385,8,25,Moderate,0.6
386,4,20,Low,1.1
398,10,45,Low,3.94
400,20,24,High,75
401,17,50,None,4.6
402,17,57,Low,2
404,13,10,Low,4.8
408,7,75,None,1.4
409,11,16,Moderate,1.8
412,11,17,Low,3.7
413,11,130,Low,2.4
414,17,200,None,2.3
415,9,80,None,0.7
416,15,9,Moderate,0.4
417,6,60,Low,7.7
418,7,60,Moderate,0.7
420,4,15,Moderate,2.2
421,5,100,Low,3.5
422,9,100,Low,7.4
423,24,80,Low,1.1
424,24,90,Low,0.8
425,22,200,None,2.2
426,5,150,Low,3.2
427,9,200,Low,1.8
428,6,170,None,1.1
430,15,60,Low,0.2
431,5,160,Low,2.6
432,4,300,None,0.7
433,7,300,None,1.8
434,5,150,Low,0.7
435,5,150,Low,30
436,5,75,Low,12.5
437,5,70,Low,5.6
438,15,100,Low,1.2
439,4,160,None,0.9
440,27,60,Low,0.7
441,26,150,Low,0.8
442,9,60,Low,1.1
443,10,150,Low,0.3
444,5,100,Low,0.1
445,15,100,Low,0.6
446,9,82,None,0.1
448,20,156,Moderate,8.8
449,5,150,Low,8
450,15,15,Low,1.8
452,17,100,Low,25.3
453,11,15,Low,0.8
454,11,260,None,0.4
455,8,75,Low,1.4
457,4,75,Low,1.3
466,15,29,Low,6
467,10,12,Low,1.8
469,17,25,Low,0.8
470,10,18,Low,1.7
471,5,9,Moderate,3.3
472,20,8,Low,1.6
473,17,15,Low,2.5
474,4,30,Low,3
475,17,15,Low,3.2
476,18,30,Low,2.9
477,13,25,Low,2.3
479,8,25,Moderate,1.5
481,22,7,Low,10.5
482,22,12,Low,0.4
483,22,25,Moderate,0.4
485,22,10,High,4.4
487,10,6,High,1
488,10,220,Low,4.6
489,10,35,Moderate,4.4
490,10,90,Moderate,4.1
576,9,2,None,0.3
578,9,20,Low,0.5
580,9,30,Low,0.7
581,9,10,Low,0.6
582,9,12,Low,0.4
583,9,70,Low,1.5
584,9,95,Low,1.7
585,9,45,Low,1.4
608,5,50,Low,2.5
775,4,30,Low,2
776,4,70,Low,1.7
777,4,50,Low,4
850,15,15,Low,4.5
854,11,70,Moderate,40
856,15,80,Low,4.2
858,8,15,Low,9.2
860,20,55,High,117
861,5,31,Low,176
862,15,45,Low,2.7
863,13,45,Moderate,11.2
864,13,72,Moderate,32
865,5,104,Low,6.3
866,27,92,High,42.8
867,5,12,Low,10.8
868,10,65,Low,2.5
869,15,50,Low,2.8
870,20,200,High,214.6
872,11,50,Low,2.1
873,15,55,Low,4.2
875,11,51,Low,1.4
876,18,200,Moderate,9.8
877,18,2,Low,1.4
878,17,9,Moderate,1.2
879,11,21,Low,2.4
880,18,50,Low,2.6
882,11,25,Low,24.8
883,15,40,Low,2
884,24,30,Low,2.3
885,22,80,Low,1.7
886,5,60,Low,2.4
887,15,17,Low,2.4
888,9,30,Low,2.1
889,15,50,Low,1.1
890,5,55,Low,2
891,5,45,Low,1.1
892,4,25,Low,1.3
893,4,180,Low,4.7
895,5,10,Low,3
896,18,50,Low,1.4
897,12,45,Low,25.1
898,14,25,Low,12
899,4,32,Low,4.8
900,9,41,Low,2.1
901,26,24,Low,1.9
902,18,12,Low,1.5
903,15,24,Low,8.9
904,10,7,Low,1.2
906,17,80,Low,0.9
907,10,110,High,16.1
908,5,50,Low,2.4
909,20,70,Low,7.5
910,17,17,Low,1.5
911,4,60,Low,1.6
912,17,90,High,5.3
913,18,90,Low,39.4
914,13,40,Low,1.4
915,8,30,Low,1.9
916,8,22,High,5.2
917,10,15,Low,2.2
921,15,5,Low,1.6
925,11,20,Moderate,17.4
927,15,15,Low,3
929,8,19,Low,1.4
931,20,20,High,110
932,5,26,Low,9.7
933,15,17,Low,7.1
934,13,20,Moderate,8.4
935,13,81,Low,8.4
936,5,200,Low,3.3
937,27,68,Moderate,11.6
938,5,31,Low,5.5
939,10,50,Low,3.2
940,15,110,Low,2.5
941,20,60,Moderate,24.7
943,11,15,Low,1.3
944,15,40,Low,5.1
945,25,120,Low,1.7
946,11,44,Low,0.9
947,18,50,Low,2.3
948,18,30,Low,1.8
949,17,24,Moderate,8.3
950,11,84,Low,1.4
951,18,140,Low,1.9
953,11,70,Low,4.2
954,15,20,Low,2.7
955,24,50,Low,3
956,22,30,Low,1.9
957,5,90,Low,2.1
958,15,21,Low,2.9
959,9,20,Low,2.2
960,15,90,Low,1.2
961,5,100,Low,1.4
962,5,70,Low,1
963,4,15,Low,1.2
964,4,9,Low,1.7
966,5,95,Low,2.1
967,18,60,Low,2.4
968,12,55,Low,1.4
969,14,36,Low,1.6
970,4,45,Low,1
971,9,32,Low,5.6
972,26,38,Low,40.2
973,18,70,Low,65.4
974,15,34,Low,1.5
975,10,24,Low,1.6
977,17,25,Low,0.6
978,10,110,Low,61
979,5,70,Low,6.1
980,20,40,Low,2.2
981,17,24,Low,1.8
982,4,45,Low,2
983,17,10,Low,4.1
984,18,50,Low,1.2
985,13,15,Low,1.8
986,8,40,Low,1.3
987,8,30,High,5.6
